# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cpu_core/cycles/P'
# Event count (approx.): 17180652278
#
# Overhead  Command          Shared Object              Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .........................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    41.22%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] <inf_doc::tape::ObjIter as core::iter::traits::iterator::Iterator>::next
    13.74%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_doc::tape::read_value
     9.86%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_doc::path::eval::run
     4.17%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_doc::path::eval::resolve
     3.93%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_doc::path::program::read_op
     2.20%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_doc::ser::serialize_reply_into
     2.16%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_server::json::execute_json
     2.00%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_doc::path::cache::ProgramCache::get_or_compile
     1.88%  json_cmd-cad56d  libc.so.6                  [.] _int_malloc
     1.74%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_doc::path::eval::consume
     1.58%  json_cmd-cad56d  libc.so.6                  [.] __memcmp_avx2_movbe
     0.93%  json_cmd-cad56d  libc.so.6                  [.] malloc
     0.90%  json_cmd-cad56d  libc.so.6                  [.] __memmove_avx_unaligned_erms
     0.90%  json_cmd-cad56d  libc.so.6                  [.] cfree@GLIBC_2.2.5
     0.88%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] alloc::raw_vec::RawVecInner<A>::finish_grow
     0.75%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_store::store::CellStore::resolve_hashed
     0.74%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_store::doc::<impl inf_store::store::CellStore>::json_get
     0.66%  json_cmd-cad56d  libc.so.6                  [.] _int_free_merge_chunk
     0.65%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_doc::ser::write_scalar
     0.64%  json_cmd-cad56d  libc.so.6                  [.] _int_realloc
     0.53%  json_cmd-cad56d  libc.so.6                  [.] realloc
     0.45%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_server::json::path_reply
     0.28%  json_cmd-cad56d  libc.so.6                  [.] _int_free_chunk
     0.28%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_foundation::hash::hash64
     0.28%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_server::json::compile
     0.28%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] alloc::raw_vec::RawVecInner<A>::finish_grow
     0.25%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] alloc::raw_vec::RawVecInner<A>::grow_amortized
     0.24%  json_cmd-cad56d  libc.so.6                  [.] _int_free_maybe_trim
