unix_s,vmrss_kb,disk_used_bytes,wal_bytes,flush_bytes,user_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,sqes_per_submit
1785480958,946624,0,0,0,0,0,0,0,0,3.7
1785480968,949756,0,0,0,0,0,0,12,12,2.6
1785480978,955356,0,0,0,0,0,0,13,12,2.6
1785480988,956940,0,0,0,0,0,0,21,21,2.6
1785480998,958992,0,0,0,0,0,0,28,25,2.6
1785481009,958992,0,0,0,0,0,0,33,31,2.6
1785481019,958992,0,0,0,0,0,0,45,45,2.6
1785481029,958992,0,0,0,0,0,0,53,50,2.6
1785481039,958996,0,0,0,0,0,0,61,61,2.6
1785481049,958996,0,0,0,0,0,0,73,73,2.6
1785481059,958996,0,0,0,0,0,0,77,77,2.6
1785481069,959000,0,0,0,0,0,0,89,89,2.6
1785481079,959004,0,0,0,0,0,0,93,93,2.6
1785481089,959004,0,0,0,0,0,0,101,101,2.6
1785481100,959004,0,0,0,0,0,0,111,110,2.6
1785481110,959004,0,0,0,0,0,0,119,119,2.6
1785481120,959004,0,0,0,0,0,0,127,127,2.6
1785481131,959004,0,0,0,0,0,0,133,132,2.6
1785481141,959004,0,0,0,0,0,0,138,138,2.6
1785481151,959004,0,0,0,0,0,0,138,138,2.6
1785481162,959004,0,0,0,0,0,0,142,142,2.6
1785481172,959004,0,0,0,0,0,0,146,146,2.6
1785481182,959004,0,0,0,0,0,0,150,149,2.6
1785481192,959004,0,0,0,0,0,0,158,158,2.6
1785481202,959004,0,0,0,0,0,0,162,162,2.6
1785481213,959004,0,0,0,0,0,0,170,170,2.6
1785481223,959004,0,0,0,0,0,0,174,174,2.6
1785481233,959004,0,0,0,0,0,0,178,178,2.6
1785481243,959004,0,0,0,0,0,0,186,183,2.6
1785481253,959004,0,0,0,0,0,0,186,186,2.6
1785481264,959004,0,0,0,0,0,0,195,194,2.6
1785481274,959004,0,0,0,0,0,0,203,203,2.6
1785481284,959004,0,0,0,0,0,0,215,215,2.6
1785481294,959004,0,0,0,0,0,0,224,224,2.6
1785481304,959004,0,0,0,0,0,0,236,236,2.6
1785481314,959004,0,0,0,0,0,0,252,252,2.6
1785481324,959004,0,0,0,0,0,0,264,264,2.6
1785481334,959004,0,0,0,0,0,0,276,276,2.6
1785481344,959004,0,0,0,0,0,0,289,289,2.6
1785481354,959008,0,0,0,0,0,0,301,301,2.6
1785481364,959008,0,0,0,0,0,0,314,314,2.6
1785481374,959008,0,0,0,0,0,0,326,326,2.6
1785481385,959008,0,0,0,0,0,0,338,338,2.6
1785481395,959008,0,0,0,0,0,0,351,351,2.6
1785481405,959008,0,0,0,0,0,0,363,363,2.6
1785481415,959008,0,0,0,0,0,0,379,379,2.6
1785481425,959008,0,0,0,0,0,0,379,379,2.6
1785481435,959008,0,0,0,0,0,0,395,395,2.6
1785481445,959008,0,0,0,0,0,0,403,403,2.6
1785481455,959008,0,0,0,0,0,0,411,411,2.6
1785481465,959008,0,0,0,0,0,0,423,423,2.6
1785481475,959008,0,0,0,0,0,0,427,427,2.6
1785481486,959008,0,0,0,0,0,0,439,439,2.6
1785481496,959012,0,0,0,0,0,0,444,444,2.6
1785481506,959012,0,0,0,0,0,0,449,448,2.6
1785481516,959012,0,0,0,0,0,0,460,458,2.6
1785481526,959012,0,0,0,0,0,0,462,461,2.6
1785481536,959012,0,0,0,0,0,0,471,471,2.6
1785481547,959012,0,0,0,0,0,0,476,476,2.6
1785481557,959012,0,0,0,0,0,0,481,480,2.6
1785481567,959012,0,0,0,0,0,0,484,484,2.6
1785481577,959556,0,0,0,0,0,0,496,496,2.6
1785481587,959568,0,0,0,0,0,0,508,508,2.6
1785481597,959576,0,0,0,0,0,0,517,516,2.6
1785481607,959580,0,0,0,0,0,0,530,529,2.6
1785481617,959592,0,0,0,0,0,0,544,544,2.7
1785481627,959596,0,0,0,0,0,0,556,556,2.7
1785481637,959600,0,0,0,0,0,0,569,569,2.7
1785481648,959600,0,0,0,0,0,0,573,573,2.7
1785481658,959600,0,0,0,0,0,0,585,585,2.7
1785481668,959600,0,0,0,0,0,0,594,594,2.7
1785481678,959600,0,0,0,0,0,0,609,609,2.7
1785481688,959600,0,0,0,0,0,0,619,619,2.8
1785481698,959600,0,0,0,0,0,0,633,633,2.8
1785481708,959600,0,0,0,0,0,0,647,647,2.8
1785481719,959600,0,0,0,0,0,0,651,651,2.8
1785481729,959600,0,0,0,0,0,0,663,663,2.8
1785481739,959600,0,0,0,0,0,0,671,671,2.8
1785481750,959600,0,0,0,0,0,0,679,679,2.8
1785481760,959600,0,0,0,0,0,0,691,691,2.8
1785481770,959600,0,0,0,0,0,0,695,695,2.8
1785481780,959600,0,0,0,0,0,0,707,707,2.8
1785481790,959600,0,0,0,0,0,0,720,720,2.9
1785481800,959600,0,0,0,0,0,0,729,729,2.9
1785481810,959600,0,0,0,0,0,0,741,741,2.9
1785481820,959604,0,0,0,0,0,0,754,754,2.9
1785481831,959604,0,0,0,0,0,0,767,767,2.9
1785481841,959604,0,0,0,0,0,0,779,779,2.9
1785481851,959604,0,0,0,0,0,0,787,787,2.9
1785481861,959604,0,0,0,0,0,0,795,795,2.9
1785481871,960380,0,0,0,0,0,0,803,803,2.9
1785481882,960384,0,0,0,0,0,0,809,809,2.9
1785481892,960392,0,0,0,0,0,0,817,817,2.9
1785481902,960400,0,0,0,0,0,0,826,826,2.9
1785481912,960404,0,0,0,0,0,0,835,835,2.9
1785481922,960404,0,0,0,0,0,0,840,840,2.9
1785481932,960404,0,0,0,0,0,0,851,851,2.9
1785481942,960408,0,0,0,0,0,0,863,863,2.9
1785481952,960408,0,0,0,0,0,0,867,867,2.9
1785481962,960412,0,0,0,0,0,0,880,880,2.9
1785481972,960412,0,0,0,0,0,0,891,891,2.9
1785481982,960412,0,0,0,0,0,0,903,903,2.9
1785481992,960412,0,0,0,0,0,0,913,913,2.9
1785482002,960412,0,0,0,0,0,0,919,919,2.9
1785482012,960412,0,0,0,0,0,0,931,931,2.9
1785482022,960412,0,0,0,0,0,0,942,942,2.9
1785482032,960412,0,0,0,0,0,0,954,954,2.9
1785482042,960424,0,0,0,0,0,0,965,965,2.9
1785482052,960424,0,0,0,0,0,0,977,977,2.9
1785482063,960424,0,0,0,0,0,0,987,987,2.9
1785482073,960424,0,0,0,0,0,0,999,999,2.9
1785482083,960424,0,0,0,0,0,0,1010,1010,2.9
1785482093,960424,0,0,0,0,0,0,1020,1020,2.9
1785482103,960424,0,0,0,0,0,0,1033,1033,2.9
1785482113,960424,0,0,0,0,0,0,1044,1044,2.9
1785482123,960424,0,0,0,0,0,0,1056,1056,2.9
1785482133,960424,0,0,0,0,0,0,1067,1067,2.9
1785482143,960424,0,0,0,0,0,0,1079,1079,2.9
1785482153,960424,0,0,0,0,0,0,1084,1083,2.9
1785482163,960424,0,0,0,0,0,0,1095,1095,2.9
1785482173,960432,0,0,0,0,0,0,1106,1106,2.9
1785482183,960432,0,0,0,0,0,0,1118,1118,2.9
1785482193,960432,0,0,0,0,0,0,1130,1130,2.9
1785482203,960432,0,0,0,0,0,0,1139,1139,2.9
1785482213,960436,0,0,0,0,0,0,1148,1148,2.9
1785482223,960436,0,0,0,0,0,0,1158,1158,2.9
1785482233,960436,0,0,0,0,0,0,1170,1170,2.9
1785482244,960436,0,0,0,0,0,0,1182,1182,2.9
1785482254,960436,0,0,0,0,0,0,1192,1192,2.9
1785482264,960440,0,0,0,0,0,0,1198,1197,2.9
1785482274,960440,0,0,0,0,0,0,1210,1210,2.9
1785482284,960440,0,0,0,0,0,0,1222,1222,2.9
1785482294,960440,0,0,0,0,0,0,1232,1232,2.9
1785482304,960440,0,0,0,0,0,0,1237,1237,2.9
1785482314,960440,0,0,0,0,0,0,1250,1250,2.9
1785482324,960440,0,0,0,0,0,0,1261,1261,2.9
1785482334,960440,0,0,0,0,0,0,1272,1272,2.9
1785482344,960440,0,0,0,0,0,0,1284,1284,2.9
1785482354,960444,0,0,0,0,0,0,1295,1294,2.9
1785482364,960444,0,0,0,0,0,0,1305,1305,2.9
1785482374,960444,0,0,0,0,0,0,1317,1317,2.9
1785482384,960448,0,0,0,0,0,0,1329,1329,2.9
1785482394,960448,0,0,0,0,0,0,1339,1339,2.9
1785482404,960448,0,0,0,0,0,0,1344,1344,2.9
1785482414,960448,0,0,0,0,0,0,1356,1356,2.9
1785482424,960448,0,0,0,0,0,0,1367,1367,2.9
1785482435,960448,0,0,0,0,0,0,1379,1379,2.9
1785482445,960448,0,0,0,0,0,0,1390,1390,2.9
1785482455,960448,0,0,0,0,0,0,1401,1401,2.9
