# inf-bench ycsb — client-derived memory-hit split (ADR-0071 D2)
# config: conns=8 pipeline=8 value_size=1024
# row	ops	cold_frac	p50_us	p99_us	p999_us	eligible
ycsb-a-zipfian	1038858	0.357792	479	783	783	ineligible
ycsb-a-uniform	580100	0.952255	495	607	607	ineligible
ycsb-b-zipfian	2511369	0.224337	335	687	687	ineligible
ycsb-b-uniform	981465	0.685816	559	799	799	ineligible
ycsb-c-zipfian	2755015	0.220616	335	671	687	ineligible
ycsb-c-uniform	1012293	0.690072	639	879	895	ineligible
ycsb-d-latest	1179295	0.354155	455	751	767	ineligible
ycsb-e-zipfian	13025	1.000000	14	14	14	ineligible
ycsb-f-zipfian	1717345	0.247876	351	751	767	ineligible
ycsb-f-uniform	680512	0.684842	639	879	879	ineligible
