unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit
1785914688,75396,28527,163577856,0,0,0,0,0,8,6.2
1785914698,467688,56960,419430400,0,0,0,32,32,10,8.1
1785914708,503176,56960,419430400,0,0,0,66,66,12,8.1
1785914718,527948,56960,419430400,0,0,0,98,98,12,8.1
1785914728,541940,56960,419430400,0,0,0,134,134,12,8.1
1785914738,550280,56960,419430400,0,0,0,168,168,12,8.1
1785914748,557396,56960,419430400,0,0,0,202,202,13,8.1
1785914758,565020,56960,419430400,0,0,0,236,236,14,8.1
1785914768,567988,56960,419430400,0,0,0,270,270,15,8.1
1785914779,573480,56960,419430400,0,0,0,306,306,13,8.1
1785914789,579756,56960,419430400,0,0,0,338,338,13,8.1
1785914799,585508,56960,419430400,0,0,0,372,372,13,8.1
1785914809,584000,56960,419430400,0,0,0,406,406,14,8.1
1785914819,591752,56960,419430400,0,0,0,441,440,14,8.1
1785914829,586216,56960,419430400,0,0,0,474,474,12,8.1
1785914839,589496,56960,419430400,0,0,0,508,508,14,8.1
1785914849,588856,56960,419430400,0,0,0,543,541,15,8.1
1785914859,588744,56960,419430400,0,0,0,576,576,14,8.1
1785914869,588084,56960,419430400,0,0,0,610,610,15,8.1
1785914879,598000,56960,419430400,0,0,0,618,616,23,8.0
1785914889,604192,56960,419430400,0,0,0,626,626,16,7.7
1785914900,601968,56960,419430400,0,0,0,662,662,13,7.8
1785914910,599740,56960,419430400,0,0,0,696,696,13,7.8
1785914920,599968,56960,419430400,0,0,0,716,716,21,7.7
1785914930,600748,56960,419430400,0,0,0,735,732,19,7.7
1785914940,603592,56960,419430400,0,0,0,746,746,15,7.7
1785914951,601216,56960,419430400,0,0,0,758,758,13,7.6
1785914961,597444,56960,419430400,0,0,0,792,792,13,7.7
1785914971,600560,56960,419430400,0,0,0,826,826,13,7.7
1785914981,605248,56960,419430400,0,0,0,857,856,14,7.7
1785914991,603108,56960,419430400,0,0,0,892,892,13,7.7
1785915001,609432,56960,419430400,0,0,0,926,926,13,7.7
1785915011,605188,56960,419430400,0,0,0,958,958,12,7.7
1785915021,605260,56960,419430400,0,0,0,990,990,14,7.8
1785915031,600804,56960,419430400,0,0,0,1024,1024,14,7.8
1785915041,601940,56960,419430400,0,0,0,1056,1056,13,7.8
