unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit
1785915105,75360,12859,71303168,0,0,0,0,0,8,16.6
1785915115,474732,14240,83886080,0,0,0,30,30,10,7.7
1785915125,516636,14240,83886080,0,0,0,62,62,11,7.6
1785915135,542412,14240,83886080,0,0,0,94,94,12,7.6
1785915145,552868,14240,83886080,0,0,0,126,126,12,7.6
1785915155,565596,14240,83886080,0,0,0,156,156,14,7.6
1785915165,573180,14240,83886080,0,0,0,190,190,12,7.6
1785915175,580472,14240,83886080,0,0,0,222,222,12,7.6
1785915185,585292,14240,83886080,0,0,0,250,250,14,7.6
1785915196,588244,14240,83886080,0,0,0,284,284,12,7.6
1785915206,593044,14240,83886080,0,0,0,316,316,13,7.6
1785915216,588024,14240,83886080,0,0,0,348,348,13,7.6
1785915226,594168,14240,83886080,0,0,0,379,379,13,7.6
1785915236,591888,14240,83886080,0,0,0,410,410,15,7.6
1785915246,597368,14240,83886080,0,0,0,442,442,12,7.6
1785915256,596004,14240,83886080,0,0,0,474,474,13,7.6
1785915266,591236,14240,83886080,0,0,0,508,508,10,7.6
1785915276,597052,14240,83886080,0,0,0,536,536,12,7.6
1785915286,592792,14240,83886080,0,0,0,568,568,13,7.6
