unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,live_bytes,compact_idle_pressure
1786594316,79872,12925,67108864,0,0,0,0,0,8,10.4,232683,0,139264,33554432,0,0,0,0,0,0,0
1786594326,548508,14240,83886080,625623040,1908,0,22,22,14,7.6,469850,75497472,17825792,33554432,5767454,15267,596,0,8107752,686817280,0
1786594337,594020,14240,83886080,625623040,1905,0,31,29,23,5.8,514980,75497472,17825792,33554432,3145884,17259,596,0,9096016,686817280,0
1786594348,598800,14240,83886080,638222336,1886,0,43,42,17,6.2,517943,75497472,17825792,33554432,4718826,39640,608,0,20924792,686817280,0
1786594358,604472,14240,83886080,640319488,1886,0,58,58,12,6.0,517879,75497472,17825792,33554432,4194512,51503,610,0,22060824,686817280,0
1786594368,599168,14240,83886080,642416640,1884,0,71,70,15,5.9,519158,75497472,17825792,33554432,2621570,59547,612,0,22429720,686817280,0
1786594378,610720,14240,83886080,642416640,1879,0,89,87,21,5.9,536648,75497472,17825792,33554432,2097256,86711,612,0,23832992,686817280,0
1786594389,620600,14240,83886080,663404544,1840,0,113,113,12,6.0,536405,75497472,17825792,33554432,5767454,124535,632,0,44019568,686817280,0
1786594399,632364,14240,83886080,688603136,1778,0,146,146,13,6.2,551308,75497472,17825792,33554432,4718826,175000,656,0,71196304,686817280,0
1786594409,639408,14240,83886080,705396736,1753,0,164,163,18,6.2,554642,75497472,17825792,33554432,5243140,203523,672,0,88166568,686817280,0
1786594419,645644,14240,83886080,706445312,1747,0,187,187,14,6.2,563624,75497472,17825792,33554432,4718826,229271,673,0,88890736,686817280,0
1786594429,655724,14240,83886080,709591040,1743,0,218,218,15,6.3,571354,75497472,17825792,33554432,4718826,273150,676,0,90652424,686817280,0
1786594439,665760,14240,83886080,724287488,1718,0,242,242,18,6.3,582368,75497472,17825792,33554432,6816082,308623,690,0,105894536,686817280,0
1786594449,661292,14240,83886080,734773248,1708,0,258,258,15,6.3,578466,75497472,17825792,33554432,4194512,326245,700,0,115604256,686817280,0
1786594459,671064,14240,83886080,766263296,1666,0,286,286,16,6.3,585724,75497472,17825792,33554432,6816082,383923,730,0,147992696,686817280,0
1786594469,673900,14240,83886080,779911168,1652,0,318,318,12,6.4,587964,75497472,17825792,33554432,4194512,434964,743,0,162128120,686817280,0
1786594479,675168,14240,83886080,780959744,1652,0,326,326,20,6.3,587595,75497472,17825792,33554432,6816082,441554,744,0,162393264,686817280,0
1786594489,678800,14240,83886080,796704768,1638,0,358,358,13,6.4,593372,75497472,17825792,33554432,4194512,488464,759,0,178054576,686817280,0
1786594499,680948,14240,83886080,822951936,1614,0,386,386,14,6.4,594670,75497472,17825792,33554432,4194512,536869,784,0,204559544,686817280,0
1786594510,687408,14240,83886080,829243392,1607,0,394,394,26,6.4,599028,75497472,17825792,33554432,7340396,548713,790,0,211110592,686817280,0
1786594520,688800,14240,83886080,849182720,1594,0,422,422,14,6.4,603196,75497472,17825792,33554432,4194512,598415,809,0,230817184,686817280,0
1786594530,689512,14240,83886080,851279872,1591,0,450,450,15,6.4,604098,75497472,17825792,33554432,6816082,644525,811,0,232470928,686817280,0
1786594540,700604,14240,83886080,852328448,1589,0,466,466,21,6.4,608998,75497472,17825792,33554432,6816082,666800,812,0,233969568,686817280,0
1786594550,691716,14240,83886080,872280064,1578,0,487,487,16,6.4,602774,76546048,17825792,33554432,6816082,701280,831,0,253074608,686817280,0
1786594560,688880,14240,83886080,901660672,1561,0,519,519,16,6.5,609849,75497472,17825792,33554432,4194512,753511,859,0,282101064,686817280,0
1786594570,692456,14240,83886080,922664960,1551,0,540,538,18,6.5,621416,75497472,17825792,33554432,2097256,789604,879,0,303024384,686817280,0
1786594581,693528,14240,83886080,922664960,1549,0,556,556,14,6.4,610627,75497472,17825792,33554432,4194512,811018,879,0,303929856,686817280,0
1786594591,698404,14240,83886080,923713536,1546,0,585,585,15,6.5,612618,75497472,17825792,33554432,6816082,851797,880,0,305539584,686817280,0
1786594601,696300,14240,83886080,923713536,1546,0,610,610,19,6.5,621181,75497472,17825792,33554432,5243140,853211,880,0,305605608,686817280,0
1786594611,695352,14240,83886080,923713536,1546,0,626,626,12,6.5,611372,75497472,17825792,33554432,4194512,853211,880,0,305605608,686817280,0
