unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit
1785915600,75484,14224,83886080,0,0,0,0,0,8,8.2
1785915610,484128,14240,83886080,0,0,0,30,30,10,7.3
1785915620,516432,14240,83886080,0,0,0,62,62,12,7.2
1785915630,539664,14240,83886080,0,0,0,97,96,11,7.3
1785915640,559664,14240,83886080,0,0,0,128,128,13,7.2
1785915651,568340,14240,83886080,0,0,0,161,161,13,7.2
1785915661,581856,14240,83886080,0,0,0,196,196,12,7.2
1785915671,581676,14240,83886080,0,0,0,226,226,15,7.2
1785915681,588464,14240,83886080,0,0,0,259,258,15,7.2
1785915691,588364,14240,83886080,0,0,0,294,294,11,7.2
1785915701,591128,14240,83886080,0,0,0,326,326,13,7.2
1785915711,591704,14240,83886080,0,0,0,360,360,12,7.2
1785915721,593956,14240,83886080,0,0,0,392,392,13,7.2
1785915731,596216,14240,83886080,0,0,0,420,420,14,7.2
1785915741,596296,14240,83886080,0,0,0,454,454,12,7.2
1785915751,597040,14240,83886080,0,0,0,486,486,14,7.2
1785915761,598508,14240,83886080,0,0,0,519,518,14,7.2
1785915772,596332,14240,83886080,0,0,0,552,552,13,7.2
1785915782,596164,14240,83886080,0,0,0,584,584,16,7.2
1785915792,596452,14240,83886080,0,0,0,615,615,13,7.2
1785915802,597788,14240,83886080,0,0,0,647,647,15,7.2
1785915812,601968,14240,83886080,0,0,0,679,679,14,7.2
1785915822,598224,14240,83886080,0,0,0,711,711,14,7.2
1785915832,594756,14240,83886080,0,0,0,745,745,14,7.2
1785915842,595760,14240,83886080,0,0,0,777,777,12,7.2
1785915852,598456,14240,83886080,0,0,0,809,809,13,7.2
1785915862,596812,14240,83886080,0,0,0,843,843,13,7.2
1785915872,596564,14240,83886080,0,0,0,875,875,11,7.2
1785915883,602140,14240,83886080,0,0,0,907,907,14,7.2
1785915893,598296,14240,83886080,0,0,0,941,941,13,7.2
1785915903,597492,14240,83886080,0,0,0,969,969,15,7.2
1785915913,599108,14240,83886080,0,0,0,1001,1001,14,7.1
1785915923,604248,14240,83886080,0,0,0,1032,1032,14,7.0
1785915933,596816,14240,83886080,0,0,0,1063,1063,12,7.0
1785915943,600032,14240,83886080,0,0,0,1093,1093,13,6.9
1785915953,596124,14240,83886080,0,0,0,1125,1125,13,6.9
1785915963,595664,14240,83886080,0,0,0,1153,1153,14,6.8
1785915973,599600,14240,83886080,0,0,0,1185,1185,13,6.8
1785915983,596880,14240,83886080,0,0,0,1215,1215,15,6.7
1785915993,596244,14240,83886080,0,0,0,1246,1246,13,6.7
1785916003,595432,14240,83886080,0,0,0,1277,1277,12,6.7
1785916014,595676,14240,83886080,0,0,0,1309,1309,12,6.6
1785916024,596612,14240,83886080,0,0,0,1337,1337,13,6.6
1785916034,597572,14240,83886080,0,0,0,1369,1369,13,6.6
1785916044,599712,14240,83886080,0,0,0,1399,1399,14,6.5
1785916054,601172,14240,83886080,0,0,0,1431,1431,10,6.5
1785916064,597720,14240,83886080,0,0,0,1461,1461,12,6.5
1785916074,595436,14240,83886080,0,0,0,1493,1493,12,6.4
1785916084,603352,14240,83886080,0,0,0,1521,1521,13,6.4
1785916094,605868,14240,83886080,0,0,0,1551,1551,13,6.4
1785916104,601892,14240,83886080,0,0,0,1583,1583,13,6.4
1785916114,599672,14240,83886080,0,0,0,1611,1611,15,6.3
1785916124,597224,14240,83886080,0,0,0,1643,1643,14,6.3
1785916135,598992,14240,83886080,0,0,0,1674,1674,13,6.3
1785916145,599628,14240,83886080,0,0,0,1701,1701,15,6.3
1785916155,596584,14240,83886080,0,0,0,1733,1733,13,6.3
1785916165,596092,14240,83886080,0,0,0,1765,1765,13,6.3
1785916175,596600,14240,83886080,0,0,0,1795,1795,12,6.2
1785916185,596268,14240,83886080,0,0,0,1826,1826,13,6.2
1785916195,595896,14240,83886080,0,0,0,1857,1857,15,6.2
1785916205,597452,14240,83886080,0,0,0,1889,1889,11,6.2
1785916215,595864,14240,83886080,0,0,0,1921,1921,13,6.2
1785916225,597040,14240,83886080,0,0,0,1956,1956,12,6.2
1785916235,599712,14240,83886080,0,0,0,1988,1987,15,6.3
1785916245,596712,14240,83886080,0,0,0,2022,2022,13,6.3
1785916255,599592,14240,83886080,0,0,0,2054,2054,15,6.3
1785916266,596968,14240,83886080,0,0,0,2086,2086,13,6.3
1785916276,597644,14240,83886080,0,0,0,2120,2120,12,6.3
1785916286,596468,14240,83886080,0,0,0,2152,2152,13,6.3
1785916296,594732,14240,83886080,0,0,0,2186,2186,12,6.4
1785916306,596784,14240,83886080,0,0,0,2220,2220,13,6.4
1785916316,599444,14240,83886080,0,0,0,2250,2250,15,6.4
1785916326,598780,14240,83886080,0,0,0,2285,2285,14,6.4
1785916336,600792,14240,83886080,0,0,0,2318,2318,14,6.4
1785916346,606236,14240,83886080,0,0,0,2348,2348,15,6.4
1785916356,602396,14240,83886080,0,0,0,2384,2384,14,6.5
1785916366,599756,14240,83886080,0,0,0,2418,2418,12,6.5
1785916376,599788,14240,83886080,0,0,0,2447,2447,15,6.5
1785916386,595520,14240,83886080,0,0,0,2481,2481,13,6.5
1785916396,595908,14240,83886080,0,0,0,2516,2515,13,6.5
1785916406,595476,14240,83886080,0,0,0,2548,2548,12,6.5
1785916417,599804,14240,83886080,0,0,0,2580,2580,12,6.5
1785916427,601284,14240,83886080,0,0,0,2612,2612,14,6.5
1785916437,598336,14240,83886080,0,0,0,2647,2647,13,6.6
1785916447,596476,14240,83886080,0,0,0,2681,2681,12,6.6
1785916457,595752,14240,83886080,0,0,0,2709,2709,15,6.6
1785916467,597196,14240,83886080,0,0,0,2745,2745,11,6.6
1785916477,597912,14240,83886080,0,0,0,2779,2779,12,6.6
1785916487,598084,14240,83886080,0,0,0,2811,2811,13,6.6
1785916497,597228,14240,83886080,0,0,0,2843,2843,15,6.6
1785916507,605976,14240,83886080,0,0,0,2879,2879,13,6.6
1785916518,599388,14240,83886080,0,0,0,2909,2909,14,6.6
1785916528,597216,14240,83886080,0,0,0,2945,2945,12,6.7
1785916538,597712,14240,83886080,0,0,0,2979,2979,12,6.7
1785916548,596244,14240,83886080,0,0,0,3011,3011,13,6.7
1785916558,596928,14240,83886080,0,0,0,3045,3045,13,6.7
1785916568,598132,14240,83886080,0,0,0,3078,3078,13,6.7
1785916578,598656,14240,83886080,0,0,0,3112,3112,13,6.7
1785916588,597164,14240,83886080,0,0,0,3145,3145,14,6.8
1785916598,596548,14240,83886080,0,0,0,3180,3180,12,6.8
1785916608,598404,14240,83886080,0,0,0,3212,3212,15,6.8
1785916618,603500,14240,83886080,0,0,0,3247,3247,14,6.8
1785916628,598216,14240,83886080,0,0,0,3282,3282,11,6.8
1785916639,597516,14240,83886080,0,0,0,3315,3314,14,6.8
1785916649,598420,14240,83886080,0,0,0,3348,3348,16,6.9
1785916659,600600,14240,83886080,0,0,0,3382,3382,14,6.9
1785916669,599300,14240,83886080,0,0,0,3416,3416,14,6.9
1785916679,598364,14240,83886080,0,0,0,3448,3447,16,6.9
1785916689,597712,14240,83886080,0,0,0,3483,3483,13,6.9
1785916699,597664,14240,83886080,0,0,0,3517,3517,14,6.9
1785916709,599508,14240,83886080,0,0,0,3549,3549,13,6.9
1785916719,598316,14240,83886080,0,0,0,3585,3585,12,6.9
1785916729,602152,14240,83886080,0,0,0,3619,3619,12,7.0
1785916739,605140,14240,83886080,0,0,0,3651,3651,14,7.0
1785916749,601532,14240,83886080,0,0,0,3685,3685,15,7.0
1785916759,602148,14240,83886080,0,0,0,3721,3721,11,7.0
1785916770,601424,14240,83886080,0,0,0,3750,3750,14,7.0
1785916780,598028,14240,83886080,0,0,0,3785,3785,14,7.0
1785916790,601572,14240,83886080,0,0,0,3819,3819,15,7.0
1785916800,596704,14240,83886080,0,0,0,3853,3853,13,7.0
1785916810,598452,14240,83886080,0,0,0,3885,3885,13,7.0
1785916820,600436,14240,83886080,0,0,0,3917,3917,12,7.0
1785916830,597592,14240,83886080,0,0,0,3949,3949,14,7.0
1785916840,601604,14240,83886080,0,0,0,3981,3981,14,7.0
1785916850,600232,14240,83886080,0,0,0,4011,4011,12,7.0
1785916860,597360,14240,83886080,0,0,0,4043,4043,13,7.0
1785916870,598916,14240,83886080,0,0,0,4077,4077,12,7.0
1785916880,596936,14240,83886080,0,0,0,4106,4106,13,7.0
1785916890,597412,14240,83886080,0,0,0,4137,4137,14,7.0
1785916900,602952,14240,83886080,0,0,0,4169,4169,13,7.0
1785916911,597036,14240,83886080,0,0,0,4200,4200,14,7.0
1785916921,596288,14240,83886080,0,0,0,4233,4233,14,7.0
1785916931,595544,14240,83886080,0,0,0,4266,4266,14,7.0
1785916941,597952,14240,83886080,0,0,0,4295,4295,14,7.0
1785916951,598656,14240,83886080,0,0,0,4328,4328,13,7.0
1785916961,598284,14240,83886080,0,0,0,4360,4360,13,7.0
1785916971,596580,14240,83886080,0,0,0,4392,4392,13,7.0
1785916981,603144,14240,83886080,0,0,0,4423,4423,14,7.0
1785916991,599068,14240,83886080,0,0,0,4454,4454,14,7.0
1785917001,598316,14240,83886080,0,0,0,4486,4486,14,7.0
1785917011,595708,14240,83886080,0,0,0,4519,4519,13,7.0
1785917021,600736,14240,83886080,0,0,0,4549,4549,15,7.0
1785917032,603100,14240,83886080,0,0,0,4581,4581,12,7.0
1785917042,601376,14240,83886080,0,0,0,4614,4614,12,7.0
1785917052,605548,14240,83886080,0,0,0,4643,4642,17,7.0
1785917062,601716,14240,83886080,0,0,0,4675,4675,13,7.0
1785917072,598084,14240,83886080,0,0,0,4707,4707,13,7.0
1785917082,599816,14240,83886080,0,0,0,4737,4737,15,7.0
1785917092,597288,14240,83886080,0,0,0,4769,4769,13,6.9
1785917102,597292,14240,83886080,0,0,0,4801,4801,14,6.9
1785917112,599804,14240,83886080,0,0,0,4831,4831,15,7.0
1785917122,600528,14240,83886080,0,0,0,4867,4867,13,7.0
1785917132,599944,14240,83886080,0,0,0,4901,4901,14,7.0
1785917142,598084,14240,83886080,0,0,0,4929,4929,15,7.0
1785917152,600624,14240,83886080,0,0,0,4965,4965,13,7.0
1785917162,597024,14240,83886080,0,0,0,4999,4999,13,7.0
1785917173,597564,14240,83886080,0,0,0,5031,5031,13,7.0
1785917183,599640,14240,83886080,0,0,0,5065,5065,13,7.0
1785917193,597548,14240,83886080,0,0,0,5101,5101,12,7.0
1785917203,601392,14240,83886080,0,0,0,5133,5133,12,7.0
1785917213,597888,14240,83886080,0,0,0,5167,5167,12,7.1
1785917223,598200,14240,83886080,0,0,0,5197,5195,19,7.1
1785917233,598344,14240,83886080,0,0,0,5231,5231,13,7.1
1785917243,602632,14240,83886080,0,0,0,5265,5265,13,7.1
1785917253,598232,14240,83886080,0,0,0,5297,5297,15,7.1
1785917263,599372,14240,83886080,0,0,0,5333,5333,13,7.1
1785917273,604432,14240,83886080,0,0,0,5367,5367,12,7.1
1785917284,596012,14240,83886080,0,0,0,5399,5399,13,7.1
1785917294,597888,14240,83886080,0,0,0,5432,5431,13,7.1
1785917304,598088,14240,83886080,0,0,0,5465,5465,14,7.1
1785917314,597840,14240,83886080,0,0,0,5497,5497,15,7.2
1785917324,597240,14240,83886080,0,0,0,5531,5531,14,7.2
1785917334,603388,14240,83886080,0,0,0,5565,5563,17,7.2
1785917344,597340,14240,83886080,0,0,0,5599,5599,12,7.2
1785917354,597756,14240,83886080,0,0,0,5633,5633,12,7.2
1785917364,597180,14240,83886080,0,0,0,5662,5662,15,7.2
1785917374,597116,14240,83886080,0,0,0,5697,5697,11,7.2
1785917384,597232,14240,83886080,0,0,0,5729,5729,13,7.2
1785917394,604508,14240,83886080,0,0,0,5763,5763,14,7.2
1785917404,598132,14240,83886080,0,0,0,5797,5797,13,7.2
1785917415,597932,14240,83886080,0,0,0,5829,5829,14,7.2
1785917425,599516,14240,83886080,0,0,0,5861,5861,13,7.2
1785917435,597048,14240,83886080,0,0,0,5893,5893,12,7.2
1785917445,597824,14240,83886080,0,0,0,5925,5925,12,7.2
1785917455,601016,14240,83886080,0,0,0,5955,5955,13,7.2
1785917465,600292,14240,83886080,0,0,0,5987,5987,14,7.2
1785917475,598444,14240,83886080,0,0,0,6019,6019,14,7.2
1785917485,600064,14240,83886080,0,0,0,6049,6049,14,7.2
1785917495,598176,14240,83886080,0,0,0,6081,6081,13,7.2
1785917505,596884,14240,83886080,0,0,0,6113,6113,14,7.2
1785917515,598952,14240,83886080,0,0,0,6143,6143,15,7.2
1785917526,598172,14240,83886080,0,0,0,6175,6175,15,7.2
1785917536,598104,14240,83886080,0,0,0,6209,6209,11,7.2
1785917546,598628,14240,83886080,0,0,0,6235,6235,14,7.2
1785917556,600720,14240,83886080,0,0,0,6268,6268,13,7.2
1785917566,600028,14240,83886080,0,0,0,6299,6299,14,7.2
1785917576,600496,14240,83886080,0,0,0,6330,6330,12,7.2
1785917586,599460,14240,83886080,0,0,0,6363,6362,12,7.2
1785917596,599116,14240,83886080,0,0,0,6393,6393,13,7.2
1785917606,600056,14240,83886080,0,0,0,6423,6423,13,7.2
1785917616,596500,14240,83886080,0,0,0,6456,6456,13,7.2
1785917626,600164,14240,83886080,0,0,0,6487,6487,13,7.2
1785917636,595424,14240,83886080,0,0,0,6519,6519,12,7.2
1785917647,603040,14240,83886080,0,0,0,6551,6551,13,7.2
1785917657,599444,14240,83886080,0,0,0,6581,6580,15,7.2
1785917667,600028,14240,83886080,0,0,0,6613,6613,12,7.2
1785917677,598832,14240,83886080,0,0,0,6645,6645,13,7.2
1785917687,597068,14240,83886080,0,0,0,6675,6675,15,7.2
1785917697,596652,14240,83886080,0,0,0,6707,6707,15,7.2
1785917707,598112,14240,83886080,0,0,0,6739,6739,12,7.2
1785917717,598840,14240,83886080,0,0,0,6769,6769,14,7.2
1785917727,596208,14240,83886080,0,0,0,6805,6805,13,7.2
1785917737,598620,14240,83886080,0,0,0,6839,6839,12,7.2
1785917748,596552,14240,83886080,0,0,0,6867,6867,12,7.2
1785917758,603368,14240,83886080,0,0,0,6901,6901,13,7.2
1785917768,598204,14240,83886080,0,0,0,6934,6934,13,7.2
1785917778,600528,14240,83886080,0,0,0,6966,6965,13,7.2
1785917788,596340,14240,83886080,0,0,0,7000,6999,14,7.2
1785917798,601708,14240,83886080,0,0,0,7033,7033,14,7.2
1785917808,600352,14240,83886080,0,0,0,7066,7066,12,7.2
