unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb
1786084038,79788,14235,83886080,0,0,0,0,0,8,18.6,242437
1786084048,1707964,14240,83886080,726351872,1415,0,8,8,36,9.7,484014
1786084058,2273552,14240,83886080,2123370496,1680,0,12,12,50,9.7,529618
1786084069,1660032,14240,83886080,2546356224,1719,0,16,16,38,9.6,537843
1786084079,1656324,14240,83886080,2633482240,1725,0,20,20,18,9.6,538473
1786084089,2117516,14240,83886080,3982213120,1804,0,24,24,44,9.7,547580
1786084099,2419336,14240,83886080,5318406144,1849,0,28,28,56,9.8,583315
1786084110,1932844,14240,83886080,6492905472,1875,0,34,34,49,9.8,573077
1786084120,2106700,14240,83886080,7715688448,1895,0,40,40,44,9.8,583690
1786084130,2409888,14240,83886080,8946946048,1910,0,45,45,46,9.8,592588
1786084140,2009616,14240,83886080,9707913216,1918,0,52,52,37,9.6,596470
1786084151,1957636,14240,83886080,9880043520,1920,0,53,52,46,9.4,602592
1786084161,1961104,14240,83886080,9946169344,1919,0,60,60,37,9.3,594607
1786084171,1963408,14240,83886080,9946169344,1919,0,60,60,53,8.4,600798
1786084181,1965908,14240,83886080,9950363648,1918,0,64,64,53,8.0,600824
1786084191,1975968,14240,83886080,9962962944,1918,0,68,68,40,7.9,596749
1786084201,1972768,14240,83886080,9962962944,1918,0,68,68,63,7.7,600786
1786084211,1977048,14240,83886080,9971351552,1917,0,72,72,55,7.6,596256
1786084221,1973788,14240,83886080,9975562240,1917,0,72,72,77,7.5,600916
1786084232,1974636,14240,83886080,9980805120,1916,0,76,76,51,7.3,602356
1786084242,1973176,14240,83886080,9991303168,1916,0,76,76,72,7.3,608452
1786084252,1974020,14240,83886080,9992355840,1915,0,80,80,48,7.2,602629
1786084262,1973968,14240,83886080,9996550144,1915,0,84,84,32,7.2,602200
1786084272,1975156,14240,83886080,10003902464,1914,0,84,84,54,7.1,601498
1786084283,1977152,14240,83886080,10030137344,1912,0,92,92,35,7.2,603906
1786084293,1982988,14240,83886080,10038525952,1911,0,96,96,37,7.2,610167
1786084303,1980944,14240,83886080,10040631296,1911,0,96,96,57,7.1,607518
1786084313,1986996,14240,83886080,10072113152,1907,0,104,104,37,7.2,605140
1786084323,1981876,14240,83886080,10080518144,1907,0,104,104,56,7.2,601625
1786084333,1986732,14240,83886080,10107813888,1903,0,112,112,33,7.2,612141
1786084344,1990924,14240,83886080,10134044672,1900,0,116,116,42,7.2,613713
1786084354,1992048,14240,83886080,10143498240,1899,0,120,120,43,7.2,610304
1786084364,1987848,14240,83886080,10159239168,1897,0,124,124,43,7.2,609780
1786084374,1999368,14240,83886080,10177085440,1895,0,128,128,48,7.2,612531
1786084384,1986984,14240,83886080,10191781888,1892,0,132,132,51,7.2,609755
1786084394,2000896,14240,83886080,10210672640,1890,0,136,136,54,7.2,612196
1786084404,1989344,14240,83886080,10236903424,1887,0,144,144,36,7.2,613626
1786084414,1987836,14240,83886080,10252648448,1884,0,148,148,43,7.2,617645
1786084425,1999872,14240,83886080,10268393472,1882,0,152,152,48,7.2,611431
1786084435,1988884,14240,83886080,10294640640,1878,0,160,160,32,7.2,609775
1786084445,1989084,14240,83886080,10296737792,1878,0,160,160,52,7.2,609800
1786084455,1991540,14240,83886080,10321920000,1874,0,168,168,36,7.2,614169
1786084465,2002192,14240,83886080,10351312896,1870,0,172,172,47,7.2,619669
1786084475,1988636,14240,83886080,10372300800,1867,0,177,177,48,7.2,609715
1786084486,1993972,14240,83886080,10380705792,1866,0,181,181,47,7.2,609714
1786084496,1996572,14240,83886080,10409037824,1862,0,186,186,43,7.2,609841
1786084506,1994220,14240,83886080,10435280896,1858,0,193,193,39,7.2,612547
1786084516,1989512,14240,83886080,10443685888,1856,0,195,195,51,7.2,611006
1786084526,1988072,14240,83886080,10463625216,1854,0,201,201,39,7.1,614985
1786084536,1996388,14240,83886080,10490904576,1849,0,207,207,41,7.2,609826
1786084546,1989472,14240,83886080,10516103168,1845,0,212,212,48,7.2,609710
1786084556,1990668,14240,83886080,10539188224,1842,0,220,220,35,7.2,613160
1786084566,2002336,14240,83886080,10566483968,1838,0,224,224,46,7.2,609796
1786084576,1989936,14240,83886080,10586423296,1835,0,230,230,44,7.2,613451
1786084587,1992884,14240,83886080,10591674368,1834,0,235,235,36,7.2,613377
1786084597,1994120,14240,83886080,10614767616,1830,0,242,242,32,7.2,611838
1786084607,1996504,14240,83886080,10640998400,1826,0,248,248,38,7.2,611891
1786084617,1993988,14240,83886080,10661994496,1823,0,255,255,33,7.2,610690
1786084627,1999908,14240,83886080,10690334720,1818,0,260,260,40,7.2,613103
1786084637,1997060,14240,83886080,10715529216,1814,0,267,267,35,7.3,612372
1786084647,2002504,14240,83886080,10736517120,1811,0,272,272,43,7.3,609710
1786084658,1993816,14240,83886080,10762764288,1807,0,280,280,32,7.3,611720
1786084668,2002524,14240,83886080,10791096320,1803,0,284,284,42,7.3,618754
1786084678,2004040,14240,83886080,10812084224,1799,0,289,289,48,7.3,611321
1786084688,1999288,14240,83886080,10829930496,1796,0,296,296,40,7.4,614748
1786084698,2004932,14240,83886080,10856169472,1792,0,301,301,46,7.4,613165
1786084708,2005828,14240,83886080,10872963072,1789,0,305,305,53,7.4,609816
1786084718,1995048,14240,83886080,10897104896,1785,0,313,313,34,7.4,615524
1786084728,2005472,14240,83886080,10925445120,1781,0,317,317,45,7.4,614278
1786084738,1993744,14240,83886080,10928599040,1781,0,319,319,53,7.4,615929
1786084748,1994960,14240,83886080,10947493888,1777,0,327,327,33,7.4,612260
1786084759,2007636,14240,83886080,10978971648,1772,0,331,331,46,7.4,611447
1786084769,1994156,14240,83886080,11002068992,1769,0,339,339,35,7.5,609843
1786084779,2000764,14240,83886080,11034607616,1765,0,343,343,42,7.5,611501
1786084789,2009664,14240,83886080,11070291968,1761,0,348,348,44,7.5,612743
1786084799,1997572,14240,83886080,11102830592,1757,0,356,356,34,7.5,611739
1786084809,1995856,14240,83886080,11132223488,1754,0,360,360,45,7.5,612081
1786084819,1999684,14240,83886080,11164753920,1750,0,368,368,36,7.5,611439
1786084829,2000964,14240,83886080,11190992896,1748,0,373,373,43,7.6,609829
1786084839,1995160,14240,83886080,11219337216,1745,0,380,380,37,7.6,613894
1786084849,2001584,14240,83886080,11252920320,1741,0,386,386,38,7.6,609847
1786084859,1997932,14240,83886080,11286511616,1737,0,393,393,34,7.6,609830
1786084869,1994508,14240,83886080,11302256640,1736,0,396,396,46,7.6,615770
1786084880,2008820,14240,83886080,11322195968,1734,0,400,400,52,7.6,611436
1786084890,1995272,14240,83886080,11353681920,1730,0,408,408,33,7.6,611987
1786084900,2005416,14240,83886080,11390418944,1727,0,413,413,40,7.6,612739
1786084910,1994776,14240,83886080,11411406848,1725,0,417,417,49,7.6,612284
1786084920,1996340,14240,83886080,11439751168,1722,0,425,425,34,7.6,609798
1786084930,2006068,14240,83886080,11475435520,1718,0,429,429,45,7.7,612764
1786084940,1998544,14240,83886080,11502723072,1715,0,434,434,51,7.7,609847
1786084950,1998924,14240,83886080,11534217216,1712,0,442,442,36,7.7,613071
1786084960,2012476,14240,83886080,11572002816,1709,0,446,446,48,7.7,611308
1786084970,1994824,14240,83886080,11597185024,1706,0,451,451,51,7.7,609822
1786084980,2003784,14240,83886080,11631828992,1703,0,458,458,41,7.7,612473
1786084991,1995136,14240,83886080,11660165120,1700,0,463,463,45,7.7,610705
1786085001,1998460,14240,83886080,11686404096,1697,0,470,470,37,7.7,609815
1786085011,2006364,14240,83886080,11722096640,1694,0,476,476,39,7.7,615662
1786085021,1996480,14240,83886080,11747278848,1692,0,483,483,36,7.7,611836
1786085031,2005184,14240,83886080,11782971392,1689,0,488,488,42,7.7,609796
1786085041,1994952,14240,83886080,11816558592,1686,0,495,495,36,7.7,613790
1786085051,2003308,14240,83886080,11842797568,1683,0,500,500,43,7.8,612258
1786085061,2000176,14240,83886080,11856441344,1682,0,505,505,43,7.8,612041
1786085071,1998496,14240,83886080,11858542592,1681,0,512,512,37,7.8,611280
1786085081,1998412,14240,83886080,11859591168,1681,0,513,513,55,7.7,609760
1786085091,1997136,14240,83886080,11862736896,1681,0,517,517,62,7.7,611074
1786085101,1999688,14240,83886080,11863785472,1681,0,525,525,37,7.8,609714
1786085112,1998220,14240,83886080,11866939392,1681,0,529,529,48,7.8,609746
1786085122,1999092,14240,83886080,11867992064,1680,0,535,534,50,7.8,609779
1786085132,1998708,14240,83886080,11871141888,1680,0,542,542,38,7.8,612307
1786085142,1998148,14240,83886080,11875336192,1680,0,546,546,48,7.8,609744
1786085152,1999056,14240,83886080,11875336192,1680,0,554,554,35,7.8,610537
1786085162,1998660,14240,83886080,11879530496,1680,0,559,559,41,7.8,615035
1786085172,1999364,14240,83886080,11882684416,1679,0,566,566,38,7.8,611738
1786085182,1998468,14240,83886080,11883732992,1679,0,571,571,41,7.8,609747
1786085192,1998096,14240,83886080,11887935488,1679,0,578,578,35,7.8,613335
1786085202,1999760,14240,83886080,11887935488,1679,0,583,583,42,7.8,615130
1786085213,1998468,14240,83886080,11892129792,1679,0,591,591,33,7.8,621840
1786085223,2000696,14240,83886080,11895275520,1678,0,595,595,43,7.8,617911
1786085233,2000364,14240,83886080,11896324096,1678,0,603,603,30,7.8,621282
1786085243,1999008,14240,83886080,11900526592,1678,0,608,608,37,7.8,617905
1786085253,1999628,14240,83886080,11903676416,1678,0,615,615,34,7.8,621357
1786085263,2000052,14240,83886080,11904729088,1678,0,621,620,42,7.8,617886
1786085273,2000756,14240,83886080,11904729088,1678,0,624,624,48,7.8,619009
1786085283,2000804,14240,83886080,11904729088,1678,0,624,624,61,7.8,624655
1786085294,1999188,14240,83886080,11907874816,1677,0,629,629,55,7.8,617929
1786085304,2000584,14240,83886080,11908923392,1677,0,636,636,38,7.8,620558
1786085314,2000428,14240,83886080,11913117696,1677,0,641,641,43,7.8,621360
1786085324,1999944,14240,83886080,11914166272,1677,0,649,649,33,7.8,617929
1786085334,1999776,14240,83886080,11917320192,1677,0,654,654,41,7.8,618054
1786085344,1999720,14240,83886080,11920470016,1676,0,661,661,37,7.8,619036
1786085354,2000364,14240,83886080,11921522688,1676,0,668,668,33,7.8,620769
1786085365,1999000,14240,83886080,11925716992,1676,0,674,674,36,7.8,622384
1786085375,1999512,14240,83886080,11927814144,1676,0,681,681,35,7.8,619637
1786085385,1999828,14240,83886080,11927814144,1676,0,682,682,50,7.8,620290
1786085395,2000100,14240,83886080,11929911296,1676,0,689,689,38,7.8,621666
1786085405,2000544,14240,83886080,11934105600,1675,0,694,694,43,7.8,617941
1786085415,2000524,14240,83886080,11935154176,1675,0,702,702,34,7.8,624477
1786085425,2000584,14240,83886080,11938308096,1675,0,706,706,45,7.8,622602
1786085435,1999876,14240,83886080,11939360768,1675,0,714,714,32,7.9,619226
1786085445,1999668,14240,83886080,11942510592,1674,0,719,719,39,7.9,617933
1786085455,2000548,14240,83886080,11944607744,1674,0,723,723,50,7.9,619330
1786085465,2000132,14240,83886080,11946704896,1674,0,731,731,37,7.9,617920
1786085475,1998644,14240,83886080,11950907392,1674,0,736,735,49,7.9,617938
1786085486,2000716,14240,83886080,11951960064,1674,0,743,743,40,7.9,618483
1786085496,1999188,14240,83886080,11955109888,1674,0,751,751,30,7.9,620555
1786085506,1999792,14240,83886080,11958255616,1673,0,755,755,42,7.9,619898
1786085516,1999368,14240,83886080,11959304192,1673,0,761,761,44,7.9,621100
1786085526,2001436,14240,83886080,11961401344,1673,0,768,768,37,7.9,617962
1786085536,1999212,14240,83886080,11963498496,1673,0,773,773,46,7.9,624559
1786085546,2000972,14240,83886080,11963498496,1672,0,781,781,33,7.9,617918
1786085556,1998840,14240,83886080,11967700992,1672,0,785,785,45,7.9,617936
1786085566,2000952,14240,83886080,11967700992,1672,0,793,793,34,7.9,620535
1786085576,1999292,14240,83886080,11969802240,1672,0,793,793,54,7.9,617990
1786085587,1999232,14240,83886080,11971903488,1672,0,801,801,33,7.9,619392
1786085597,2001668,14240,83886080,11975049216,1671,0,805,805,44,7.9,620099
1786085607,1999656,14240,83886080,11976097792,1671,0,813,813,31,7.9,622686
1786085617,2000344,14240,83886080,11976097792,1671,0,813,813,52,7.9,617859
1786085627,2000468,14240,83886080,11980292096,1671,0,821,821,36,7.9,619602
1786085637,2000756,14240,83886080,11980292096,1671,0,825,825,47,7.9,617964
1786085647,1998412,14240,83886080,11984494592,1671,0,830,830,50,7.9,617974
1786085657,2003168,14240,83886080,11988697088,1670,0,838,838,35,7.9,617922
1786085667,2002080,14240,83886080,12009684992,1668,0,843,843,44,7.9,621772
1786085677,2000632,14240,83886080,12026478592,1666,0,850,850,39,7.9,619748
1786085687,2005696,14240,83886080,12047466496,1664,0,855,855,39,7.9,620826
1786085698,2000616,14240,83886080,12065308672,1661,0,862,862,37,7.9,619996
1786085708,2005692,14240,83886080,12086308864,1659,0,867,867,43,7.9,617931
1786085718,2000072,14240,83886080,12106244096,1657,0,873,873,41,7.9,620747
1786085728,2007716,14240,83886080,12131434496,1655,0,879,879,42,7.9,619078
1786085738,2001152,14240,83886080,12152430592,1653,0,887,887,33,7.9,617901
1786085748,1999592,14240,83886080,12165021696,1652,0,888,888,53,7.9,625774
1786085758,2008592,14240,83886080,12178669568,1651,0,892,892,59,7.9,621827
