unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes
1786240167,79816,12502,67108864,0,0,0,0,0,8,16.5,222604,0,139264,33554432,0
1786240177,2670412,14240,83886080,50413568,1029,0,4,4,58,9.3,496555,2155872256,71303168,33554432,6816082
1786240187,3055096,14240,83886080,560517120,1219,0,8,8,56,9.4,502267,2535456768,71303168,33554432,8389024
1786240198,2785564,14240,83886080,1630060544,1443,0,8,8,86,9.4,531476,2155872256,142606336,33554432,8389024
1786240208,3254184,14240,83886080,2301796352,1530,0,12,12,66,9.4,529956,2628780032,142606336,33554432,6816082
1786240218,2809912,14240,83886080,2741583872,1574,0,12,12,82,9.4,544229,2155872256,142606336,33554432,6816082
1786240229,2810360,14240,83886080,2838142976,1583,0,12,12,84,9.4,545195,2155872256,142606336,33554432,6816082
1786240239,3566068,14240,83886080,3775447040,1652,0,16,16,64,9.4,553529,2920284160,142606336,33554432,6816082
1786240249,2934184,14240,83886080,4144906240,1673,0,20,20,44,9.4,559978,2268069888,142606336,33554432,6291768
1786240259,2849236,14240,83886080,4636164096,1698,0,24,24,30,9.4,551992,2181038080,142606336,33554432,6816082
1786240270,4477192,14240,83886080,6152830976,1757,0,24,24,71,9.5,572389,3696230400,285212672,33554432,6816082
1786240280,3994968,14240,83886080,7377715200,1790,0,28,28,86,9.5,585500,3193962496,285212672,33554432,6816082
1786240290,3368628,14240,83886080,8667713536,1818,0,32,32,75,9.6,586155,2542796800,285212672,33554432,6816082
1786240300,3012648,14240,83886080,10127704064,1842,0,32,32,114,9.6,596089,2155872256,285212672,33554432,6816082
1786240310,3109756,14240,83886080,10322931712,1844,0,36,36,68,9.6,594085,2259681280,285212672,33554432,6816082
1786240320,3554852,14240,83886080,11622334464,1861,0,40,40,50,9.6,594262,2711617536,285212672,33554432,6291768
1786240331,4274436,14240,83886080,12977405952,1875,0,42,42,81,9.6,603070,3159359488,570425344,33554432,6291768
