unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,compact_idle_pressure
1786591752,79836,9549,33554432,0,0,0,0,0,8,14.2,192837,0,139264,33554432,0,0,0,0,0,0
1786591763,2673276,14240,83886080,365281280,1153,0,4,4,64,10.0,503008,2155872256,71303168,33554432,6816082,0,348,0,0,0
1786591774,3655356,14240,83886080,1479966720,1420,0,8,8,78,9.8,530274,3143630848,71303168,33554432,6816082,0,1410,0,0,0
1786591784,3017144,14240,83886080,1911357440,1483,0,12,12,48,9.8,528167,2395996160,142606336,33554432,6816082,0,1821,0,0,0
1786591798,2789600,14240,83886080,2126516224,1511,0,12,12,56,9.7,544007,2155872256,142606336,33554432,6816082,0,2026,0,0,0
1786591808,2994940,14240,83886080,2414116864,1542,0,16,16,36,9.6,528647,2361393152,142606336,33554432,6816082,1,2300,0,0,0
1786591819,2803496,14240,83886080,2818199552,1581,0,16,16,46,9.6,546946,2155872256,142606336,33554432,6816082,1,2685,0,0,0
1786591830,3761956,14240,83886080,3863609344,1657,0,20,20,54,9.6,550508,3125805056,142606336,33554432,6816082,1,3681,0,0,0
1786591840,2998144,14240,83886080,4250914816,1679,0,24,24,46,9.6,544868,2342518784,142606336,33554432,6816082,1,4050,0,0,0
1786591850,2829680,14240,83886080,4736925696,1703,0,24,24,60,9.6,570302,2155872256,142606336,33554432,6816082,2,4513,0,0,0
1786591861,3196576,14240,83886080,5278515200,1726,0,28,28,48,9.6,566965,2526019584,142606336,33554432,6816082,3,5029,0,0,0
1786591872,2837316,14240,83886080,5302665216,1727,0,28,28,48,9.6,568166,2155872256,142606336,33554432,6816082,4,5052,0,0,0
1786591882,3027548,14240,83886080,5493686272,1734,0,32,32,28,9.6,561226,2215641088,285212672,33554432,7340396,4,5234,0,0,0
1786591892,3771292,14240,83886080,6246252544,1760,0,32,32,52,9.5,576939,2852126720,285212672,33554432,7340396,5,5951,0,0,0
1786591902,3275516,14240,83886080,6719619072,1774,0,36,36,47,9.5,580480,2455764992,285212672,33554432,6816082,5,6402,0,0,0
