unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,live_bytes,compact_idle_pressure
1786693912,79808,13875,67108864,0,0,0,0,0,8,10.6,228942,0,139264,33554432,0,0,0,0,0,0,0
1786693925,2668280,14240,83886080,151166976,1076,0,4,4,60,10.1,502836,2155872256,71303168,33554432,6816082,0,144,0,0,2300584272,0
1786693935,3009744,14240,83886080,606699520,1230,0,8,8,62,9.9,509000,2485125120,71303168,33554432,7340396,1,578,0,0,2754525472,0
1786693945,2685660,14240,83886080,772538368,1274,0,8,8,66,9.8,511255,2155872256,71303168,33554432,7340396,1,736,0,0,2920574784,0
1786693957,2786524,14240,83886080,912134144,1310,0,12,12,30,9.7,511768,2250244096,71303168,33554432,6816082,1,869,0,0,3059682112,0
1786693967,2700488,14240,83886080,1006596096,1329,0,12,12,34,9.7,510880,2155872256,71303168,33554432,6816082,1,959,0,0,3154151976,0
1786693977,3658028,14240,83886080,2002665472,1495,0,16,16,42,9.7,542638,3046113280,142606336,33554432,6816082,2,1908,0,0,4149773984,0
1786693987,2994508,14240,83886080,2389966848,1540,0,20,20,46,9.7,527140,2355101696,142606336,33554432,6291768,2,2277,0,0,4536368608,0
1786693997,2810980,14240,83886080,3077455872,1602,0,20,20,66,9.6,547755,2155872256,142606336,33554432,6291768,3,2932,0,0,5221980688,0
1786694008,3388576,14240,83886080,3820568576,1654,0,24,24,56,9.6,562264,2739929088,142606336,33554432,7340396,3,3640,0,0,5964952952,0
1786694018,2952836,14240,83886080,4215226368,1677,0,28,28,40,9.6,558365,2293235712,142606336,33554432,7340396,4,4016,0,0,6359955680,0
1786694030,2823740,14240,83886080,4464033792,1690,0,28,28,48,9.6,561967,2155872256,142606336,33554432,7340396,5,4253,0,0,6609581944,0
1786694041,2872836,14240,83886080,4631969792,1698,0,32,32,28,9.6,564156,2200961024,142606336,33554432,6816082,7,4413,0,0,6776099712,0
1786694051,2836004,14240,83886080,5136826368,1720,0,32,32,44,9.5,570101,2155872256,142606336,33554432,6816082,9,4894,0,0,7279846064,0
1786694061,3270320,14240,83886080,5633277952,1739,0,36,36,42,9.5,562364,2465202176,285212672,33554432,7340396,9,5367,0,0,7777524496,0
1786694072,2974900,14240,83886080,6004838400,1752,0,40,40,32,9.5,563976,2159017984,285212672,33554432,4718826,9,5721,0,0,8147655040,0
1786694082,2978444,14240,83886080,6426783744,1765,0,40,40,44,9.5,572411,2155872256,285212672,33554432,6291768,9,6123,0,0,8569017064,0
1786694092,3177732,14240,83886080,6720667648,1774,0,44,44,35,9.4,568837,2358247424,285212672,33554432,6816082,9,6403,0,0,8863139312,0
1786694103,2989396,14240,83886080,7415500800,1791,0,44,44,54,9.5,589078,2155872256,285212672,33554432,6816082,9,7065,0,0,9557025352,0
1786694113,3763156,14240,83886080,8338100224,1811,0,48,48,59,9.5,577408,2948595712,285212672,33554432,6816082,11,7944,0,0,10478492976,0
1786694123,3038880,14240,83886080,8660369408,1818,0,52,52,44,9.5,574812,2205155328,285212672,33554432,6816082,13,8251,0,0,10800161904,0
1786694137,2998752,14240,83886080,9006731264,1824,0,52,52,56,9.4,589154,2155872256,285212672,33554432,6816082,14,8581,0,0,11145895008,0
1786694148,2997444,14240,83886080,9066561536,1825,0,52,52,56,9.4,594443,2155872256,285212672,33554432,6816082,14,8638,0,0,11205607952,0
1786694158,3680024,14240,83886080,9891545088,1838,0,56,56,48,9.5,584641,2852126720,285212672,33554432,6816082,17,9424,0,0,12031402608,0
1786694168,3076888,14240,83886080,10225319936,1843,0,60,60,41,9.4,586526,2235564032,285212672,33554432,6816082,18,9742,0,0,12364785032,0
1786694179,3001852,14240,83886080,10583232512,1848,0,60,60,52,9.4,585211,2155872256,285212672,33554432,6816082,19,10083,0,0,12722456952,0
1786694189,3204016,14240,83886080,10842488832,1851,0,64,64,33,9.4,589425,2364538880,285212672,33554432,6816082,19,10330,0,0,12979716848,0
1786694199,3006588,14240,83886080,11006222336,1853,0,68,68,23,9.4,579543,2160066560,285212672,33554432,6291768,19,10486,0,0,13144313632,0
1786694210,3005044,14240,83886080,11523674112,1860,0,68,68,39,9.4,587004,2155872256,285212672,33554432,6291768,21,10979,0,0,13661409408,0
1786694220,3282892,14240,83886080,11883687936,1864,0,72,72,39,9.4,581475,2444230656,285212672,33554432,6816082,23,11322,0,0,14020839872,0
1786694230,3011536,14240,83886080,12375949312,1869,0,72,72,52,9.4,587789,2156920832,285212672,33554432,6816082,24,11791,0,0,14512329864,0
1786694240,3012132,14240,83886080,12421087232,1870,0,72,72,54,9.4,582446,2155872256,285212672,33554432,6816082,25,11834,0,0,14556460096,0
